2017-12-22 00:00:00,Contract,LastClose,ATR20,LastPctChg,ACT,0.75LastSIG,0.5LastSIG,1LastSIG,prevSEA,prevSRUN,prevvSTART,usdATR,QTY,QTY_MINI,QTY_MICRO,contractValue,FX,PC2017-12-22 00:00:00,Close2017-12-22 00:00:00,group,RiskOn,Custom,vSTART,LastSEA,SEA2017-12-22 00:00:00,LastSRUN,SRUN2017-12-22 00:00:00,prevACT,LastSIG,LastSAFEf,finalQTY,SIG2017-12-21 00:00:00,0.5LastSAFEf,0.5finalQTY,0.5SIG2017-12-21 00:00:00,0.75LastSAFEf,0.75finalQTY,0.75SIG2017-12-21 00:00:00,1LastSAFEf,1finalQTY,1SIG2017-12-21 00:00:00,None,RiskOff,AntiCustom,Anti1LastSIG,Anti0.75LastSIG,Anti0.5LastSIG,AntiSEA,AntiPrevACT,AdjSEA,AntiAdjSEA,Voting,Voting2,Voting3,Voting7,Voting8,Voting9,Voting10,Voting11,Voting12,Voting13,Voting14,Voting15,Voting4,Voting5,Voting6,chgValue,PNL_ACT,PNL_prevACT,PNL_AntiPrevACT,PNL_RiskOn,PNL_RiskOff,PNL_Custom,PNL_AntiCustom,PNL_LastSIG,PNL_0.75LastSIG,PNL_0.5LastSIG,PNL_1LastSIG,PNL_Anti1LastSIG,PNL_Anti0.75LastSIG,PNL_Anti0.5LastSIG,PNL_prevSEA,PNL_LastSEA,PNL_AntiSEA,PNL_AdjSEA,PNL_AntiAdjSEA,PNL_Voting,PNL_Voting2,PNL_Voting3,PNL_Voting4,PNL_Voting5,PNL_Voting6,PNL_Voting7,PNL_Voting8,PNL_Voting9,PNL_Voting10,PNL_Voting11,PNL_Voting12,PNL_Voting13,PNL_Voting14,PNL_Voting15
AC,@ACG8,1.333,0.022475486,0.00679758308157,1.0,1.0,-1.0,1.0,1.0,-4.0,2017-12-15,651.789094,1.0,1.0,1.0,38657.0,1.0,0.00679758308157,1.333,energy,1.0,1.0,2017-12-15,1.0,1.0,13.0,13.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,0,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1,-1,0.0,-1,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
AD,@ADH8,0.7713,0.004808463,0.00116822429907,1.0,-1.0,-1.0,1.0,1.0,-10.0,2017-12-07,480.8463,2.0,1.0,1.0,77130.0,1.0,0.00116822429907,0.7713,currency,1.0,1.0,2017-12-07,1.0,1.0,-11.0,-11.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,0,-1,-1,-1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,0.0,1.0,0.0,1.0,-1,-1,0.0,-1,180.210280374,180.210280374,180.210280374,-180.210280374,180.210280374,-180.210280374,180.210280374,-180.210280374,180.210280374,-180.210280374,-180.210280374,180.210280374,-180.210280374,180.210280374,180.210280374,180.210280374,180.210280374,-180.210280374,180.210280374,-180.210280374,180.210280374,-180.210280374,-180.210280374,-180.210280374,0.0,-180.210280374,-180.210280374,-180.210280374,-180.210280374,-180.210280374,0.0,180.210280374,0.0,180.210280374,-180.210280374
AEX,AEXF8,548.4,5.114716921,-0.00172931646491,-1.0,-1.0,-1.0,1.0,1.0,14.0,2017-12-01,1213.313148,1.0,1.0,1.0,130091.448,0.84309923278,-0.00172931646491,548.4,index,1.0,1.0,2017-12-01,1.0,1.0,15.0,15.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,1.0,0,-1,-1,-1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,0.0,1.0,0.0,1.0,-1,-1,0.0,-1,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
BO,@BOH8,32.94,0.4811140175,0.00335059396893,1.0,-1.0,1.0,-1.0,-1.0,15.0,2017-11-30,288.6684105,3.0,1.0,1.0,19764.0,1.0,0.00335059396893,32.94,grain,1.0,1.0,2017-11-30,-1.0,-1.0,16.0,16.0,-1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,3.0,-1.0,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,198.663417606,198.663417606,-198.663417606,198.663417606,198.663417606,-198.663417606,198.663417606,-198.663417606,198.663417606,-198.663417606,198.663417606,-198.663417606,198.663417606,198.663417606,-198.663417606,-198.663417606,-198.663417606,198.663417606,198.663417606,-198.663417606,-198.663417606,198.663417606,198.663417606,198.663417606,198.663417606,198.663417606,198.663417606,198.663417606,198.663417606,198.663417606,198.663417606,198.663417606,0.0,0.0,198.663417606
BP,@BPH8,1.3432,0.010137107,-0.000223297357648,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,2017-12-12,633.5691875,1.0,1.0,1.0,83950.0,1.0,-0.000223297357648,1.3432,currency,1.0,1.0,2017-12-12,-1.0,-1.0,8.0,8.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,0,-1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,1,1,1.0,1,-18.7458131745,18.7458131745,18.7458131745,-18.7458131745,-18.7458131745,18.7458131745,-18.7458131745,18.7458131745,-18.7458131745,18.7458131745,18.7458131745,18.7458131745,-18.7458131745,-18.7458131745,-18.7458131745,18.7458131745,18.7458131745,-18.7458131745,-18.7458131745,18.7458131745,18.7458131745,-18.7458131745,-18.7458131745,-18.7458131745,-18.7458131745,-18.7458131745,-18.7458131745,-18.7458131745,-18.7458131745,-18.7458131745,-18.7458131745,-18.7458131745,-0.0,-0.0,-18.7458131745
C,@CH8,352.0,3.6125,0.00213523131673,1.0,-1.0,-1.0,-1.0,1.0,-67.0,2017-09-18,180.625,5.0,1.0,1.0,17600.0,1.0,0.00213523131673,352.0,grain,1.0,1.0,2017-09-18,1.0,1.0,-68.0,-68.0,1.0,1.0,1.0,5.0,1.0,2.0,5.0,-1.0,1.0,5.0,-1.0,1.0,5.0,-1.0,0,-1,-1,1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,0.0,-1.0,0.0,1.0,-1,-1,0.0,-1,187.900355872,187.900355872,187.900355872,-187.900355872,187.900355872,-187.900355872,187.900355872,-187.900355872,187.900355872,-187.900355872,-187.900355872,-187.900355872,187.900355872,187.900355872,187.900355872,187.900355872,187.900355872,-187.900355872,187.900355872,-187.900355872,187.900355872,-187.900355872,-187.900355872,-187.900355872,0.0,-187.900355872,-187.900355872,-187.900355872,-187.900355872,-187.900355872,0.0,-187.900355872,0.0,187.900355872,-187.900355872
CC,@CCH8,1809.0,52.45,-0.0513896171998,-1.0,1.0,1.0,-1.0,-1.0,-28.0,2017-11-10,524.5,1.0,1.0,1.0,18090.0,1.0,-0.0513896171998,1809.0,soft,1.0,1.0,2017-11-10,-1.0,-1.0,-29.0,-29.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-1.0,0,-1,-1,1,-1,-1,1,1,1,-1,-1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,0.0,-1,1,1.0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
CD,@CDH8,0.7866,0.0055380225,-0.000317722564657,-1.0,-1.0,-1.0,-1.0,1.0,14.0,2017-12-01,553.80225,1.0,1.0,1.0,78660.0,1.0,-0.000317722564657,0.7866,currency,1.0,1.0,2017-12-01,1.0,1.0,15.0,15.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,-1.0,2.0,1.0,-1.0,2.0,1.0,-1.0,0,-1,-1,1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,0.0,-1.0,0.0,1.0,-1,-1,0.0,-1,-24.9920569359,24.9920569359,-24.9920569359,24.9920569359,-24.9920569359,24.9920569359,-24.9920569359,24.9920569359,-24.9920569359,24.9920569359,24.9920569359,24.9920569359,-24.9920569359,-24.9920569359,-24.9920569359,-24.9920569359,-24.9920569359,24.9920569359,-24.9920569359,24.9920569359,-24.9920569359,24.9920569359,24.9920569359,24.9920569359,-0.0,24.9920569359,24.9920569359,24.9920569359,24.9920569359,24.9920569359,-0.0,24.9920569359,-0.0,-24.9920569359,24.9920569359
CGB,CBH8,134.95,0.595637441,-0.00037037037037,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,2017-12-07,468.047651265,2.0,1.0,1.0,106042.747132,1.2726,-0.00037037037037,134.95,rates,-1.0,1.0,2017-12-07,-1.0,-1.0,11.0,11.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,0.0,-1.0,0,1,-1,1,1,1,1,1,-1,1,-1,-1,1,-1,-1,1.0,0.0,1.0,-1.0,-1.0,-1.0,1,-1,-1.0,0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
CL,QCLG8,58.47,1.0113791525,0.00188485263879,1.0,-1.0,-1.0,-1.0,1.0,9.0,2017-12-08,1011.3791525,1.0,1.0,1.0,58470.0,1.0,0.00188485263879,58.47,energy,1.0,1.0,2017-12-08,1.0,1.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,0,-1,-1,1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1.0,-1.0,0.0,-1.0,0.0,1.0,-1,-1,0.0,-1,110.20733379,110.20733379,110.20733379,-110.20733379,110.20733379,-110.20733379,110.20733379,-110.20733379,110.20733379,-110.20733379,-110.20733379,-110.20733379,110.20733379,110.20733379,110.20733379,110.20733379,110.20733379,-110.20733379,110.20733379,-110.20733379,110.20733379,-110.20733379,-110.20733379,-110.20733379,0.0,-110.20733379,-110.20733379,-110.20733379,-110.20733379,-110.20733379,0.0,-110.20733379,0.0,110.20733379,-110.20733379
